id,label,occ_field,weighted_avg_income
2200,Postsecondary Teachers,"Education, Training, and Library",69779.82274513232
7200,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",34184.17497781752
4965,"Sales and Related Workers, All Other",Sales and Related,44217.18630686831
5810,Data Entry Keyers,Office and Administrative Support,33101.78283174136
2310,Elementary and Middle School Teachers,"Education, Training, and Library",52798.98162403808
2340,Other Teachers and Instructors,"Education, Training, and Library",38151.32751232066
2750,"Musicians, Singers, and Related Workers","Arts, Design, Entertainment, Sports, and Media",29253.03392347336
3130,Registered Nurses,Healthcare Practitioners and Technicians,75549.98622817456
4820,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related,112268.12619626966
6200,First-Line Supervisors of Construction Trades and Extraction Workers,Construction,52986.93874244505
9130,Driver/Sales Workers and Truck Drivers,Transportation and Material Moving,38524.54682460894
310,Food Service and Lodging Managers,"Management in Business, Science, and Arts",45304.77694282507
9620,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,27017.33995605951
350,Medical and Health Services Managers,"Management in Business, Science, and Arts",97692.42013653283
1820,Psychologists,"Life, Physical, and Social Science",64773.22762516806
3310,Dental Hygienists,Healthcare Practitioners and Technicians,65214.65966850678
3010,Dentists,Healthcare Practitioners and Technicians,132329.20478131936
5860,"Office Clerks, General",Office and Administrative Support,32026.545828702438
860,Insurance Underwriters,Financial Specialists,87796.73451616496
4850,"Sales Representatives, Wholesale and Manufacturing",Sales and Related,61998.56865945008
3820,Police Officers and Detectives,Protective Service,69870.06026592174
4720,Cashiers,Sales and Related,19927.519063207033
430,"Managers, nec (including Postmasters)","Management in Business, Science, and Arts",79391.86270577816
5700,Secretaries and Administrative Assistants,Office and Administrative Support,45804.98018464807
620,"Human Resources, Training, and Labor Relations Specialists",Business Operations Specialists,69762.47625670375
6765,"Construction workers, nec",Construction,31218.35331227977
3050,Pharmacists,Healthcare Practitioners and Technicians,112124.79836793622
2330,Special Education Teachers,"Education, Training, and Library",49009.59119205608
4700,First-Line Supervisors of Sales Workers,Sales and Related,56291.92071222806
5610,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support,32418.664485146546
7010,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair",42867.45731424841
6600,"Helpers, Construction Trades",Construction,23293.765853066216
5330,Loan Interviewers and Clerks,Office and Administrative Support,41628.94258787974
1360,Civil Engineers,Architecture and Engineering,85649.31352579664
4220,Janitors and Building Cleaners,Building and Grounds Cleaning and Maintenance,25913.51006571507
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,59987.33851863991
3060,Physicians and Surgeons,Healthcare Practitioners and Technicians,201325.74735105428
2300,Preschool and Kindergarten Teachers,"Education, Training, and Library",35415.364789108506
1000,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Computer and Mathematical,76555.18251022155
2430,Librarians,"Education, Training, and Library",46664.442417790044
4230,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance,22336.40038141471
230,Education Administrators,"Management in Business, Science, and Arts",79868.3470993917
4130,"Food preparation and serving related workers, nec",Food Preparation and Serving,14257.354738349852
4110,Waiters and Waitresses,Food Preparation and Serving,20701.50311897225
950,"Financial Specialists, nec",Financial Specialists,73513.90525984192
8320,Sewing Machine Operators,Production,25119.432353200973
7040,"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair",44602.216198225135
4760,Retail Salespersons,Sales and Related,40195.091485464545
6700,Elevator Installers and Repairers,Construction,73127.22169441848
5550,Postal Service Mail Carriers,Office and Administrative Support,52087.5411295248
7700,First-Line Supervisors of Production and Operating Workers,Production,57093.395863617785
7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair",42574.73665535585
5600,"Production, Planning, and Expediting Clerks",Office and Administrative Support,52999.67720739955
2630,Designers,"Arts, Design, Entertainment, Sports, and Media",52488.832264593904
2100,"Lawyers, and judges, magistrates, and other judicial workers",Legal,149284.49502615773
6320,"Construction equipment operators except paving, surfacing, and tamping equipment operators",Construction,43656.27443655117
4510,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,27127.28298740573
2540,Teacher Assistants,"Education, Training, and Library",25829.039173994654
3650,"Medical Assistants and Other Healthcare Support Occupations, nec",Healthcare Support,35340.73835285844
9050,Flight Attendants and Transportation Workers and Attendants,Transportation and Material Moving,50018.85374027037
2010,Social Workers,Community and Social Services,47320.535454081
8220,"Metal workers and plastic workers, nec",Production,39567.178031572446
150,Purchasing Managers,"Management in Business, Science, and Arts",82828.23657749819
4810,Insurance Sales Agents,Sales and Related,67754.19140512506
9610,Cleaners of Vehicles and Equipment,Transportation and Material Moving,23055.112549274156
4350,Nonfarm Animal Caretakers,Personal Care and Service,18433.677494338943
9520,"Dredge, Excavating, and Loading Machine Operators",Transportation and Material Moving,32922.57303148751
9100,Bus and Ambulance Drivers and Attendants,Transportation and Material Moving,32313.43219106048
5800,Computer Operators,Office and Administrative Support,45663.52378011324
4240,Pest Control Workers,Building and Grounds Cleaning and Maintenance,36916.86894373175
5400,Receptionists and Information Clerks,Office and Administrative Support,28139.74375771338
9650,Pumping Station Operators,Transportation and Material Moving,35138.50609509172
5020,Telephone Operators,Office and Administrative Support,34354.56516901742
8340,Shoe Machine Operators and Tenders,Production,29822.0237943681
8600,"Power Plant Operators, Distributors, and Dispatchers",Production,79603.05344806527
8140,"Welding, Soldering, and Brazing Workers",Production,39760.32769579307
2910,Photographers,"Arts, Design, Entertainment, Sports, and Media",31679.61353565052
800,Accountants and Auditors,Financial Specialists,78726.82884242624
9140,Taxi Drivers and Chauffeurs,Transportation and Material Moving,24039.790999475837
3930,Security Guards and Gaming Surveillance Officers,Protective Service,31577.74424832856
2320,Secondary School Teachers,"Education, Training, and Library",52953.59765514016
5940,"Office and administrative support workers, nec",Office and Administrative Support,46457.6394370461
2810,"Editors, News Analysts, Reporters, and Correspondents","Arts, Design, Entertainment, Sports, and Media",54641.11835468592
8030,Machinists,Production,43936.1909173293
9720,Refuse and Recyclable Material Collectors,Transportation and Material Moving,27377.344564203588
6240,"Carpet, Floor, and Tile Installers and Finishers",Construction,23560.123872762153
3030,Dieticians and Nutritionists,Healthcare Practitioners and Technicians,58907.299410327054
6230,Carpenters,Construction,27237.014358051485
5120,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,39483.41723135707
4000,Chefs and Cooks,Food Preparation and Serving,22806.929654384585
7360,Millwrights,"Installation, Maintenance, and Repair",56780.74333716356
5260,File Clerks,Office and Administrative Support,28121.834709537823
1540,Drafters,Architecture and Engineering,49726.41802152462
6330,"Drywall Installers, Ceiling Tile Installers, and Tapers",Construction,27358.8710339412
6210,Boilermakers,Construction,49811.74797920345
4650,"Personal Care and Service Workers, All Other",Personal Care and Service,21855.82360019775
5540,Postal Service Clerks,Office and Administrative Support,51191.118312576225
5850,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support,27726.631386284644
7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production,32943.87393306752
4030,Food Preparation Workers,Food Preparation and Serving,17331.02916243078
8910,"Etchers, Engravers, and Lithographers",Production,30140.130749112814
4600,Childcare Workers,Personal Care and Service,26989.20370934352
730,Other Business Operations and Management Specialists,Business Operations Specialists,76665.19083048419
6400,Insulation Workers,Construction,35606.84559290269
8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production,39979.32998233954
9999,NIU,No Occupation,0.0
3510,Medical Records and Health Information Technicians,Healthcare Practitioners and Technicians,41440.869693631306
7330,Industrial and Refractory Machinery Mechanics,"Installation, Maintenance, and Repair",48055.29596032088
8800,Packaging and Filling Machine Operators and Tenders,Production,29456.71015734864
3500,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technicians,53701.661315326506
8965,Other production workers including semiconductor processors and cooling and freezing equipment operators,Production,37927.87029411722
4010,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,30540.733941587467
5310,"Interviewers, Except Eligibility and Loan",Office and Administrative Support,34246.916576673524
5530,"Meter Readers, Utilities",Office and Administrative Support,36309.287250251735
6220,"Brickmasons, Blockmasons, and Stonemasons",Construction,29532.87135362324
2760,"Entertainers and Performers, Sports and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media",22677.993826868562
5100,Bill and Account Collectors,Office and Administrative Support,36147.6814129085
7140,Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair",57256.84273755626
5820,Word Processors and Typists,Office and Administrative Support,31566.16866837348
3950,"Law enforcement workers, nec",Protective Service,30087.44268325033
8750,Jewelers and Precious Stone and Metal Workers,Production,32369.182380637005
7000,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",60065.13831887001
7750,"Assemblers and Fabricators, nec",Production,34198.04096296712
1010,Computer Programmers,Computer and Mathematical,73498.32865739064
7720,"Electrical, Electronics, and Electromechanical Assemblers",Production,31839.79934073298
6100,Fishing and hunting workers,"Farming, Fisheries, and Forestry",21963.40045112308
6355,Electricians,Construction,48931.6869160245
410,"Property, Real Estate, and Community Association Managers","Management in Business, Science, and Arts",67091.46161933249
7340,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",42225.75123963234
